Code,Area,Year,Gas_consumption
E09000021,Kingston upon Thames,2012,920.588159
E09000022,Lambeth,2012,1448.328248
E09000023,Lewisham,2012,1372.311126
E09000024,Merton,2012,1097.565724
E09000025,Newham,2012,1120.75655
E09000026,Redbridge,2012,1484.551538
E09000027,Richmond upon Thames,2012,1239.652332
E09000028,Southwark,2012,1080.180718
E09000029,Sutton,2012,1076.828758
E09000030,Tower Hamlets,2012,731.819709
E09000031,Waltham Forest,2012,1242.480781
E09000032,Wandsworth,2012,1584.334233
E09000033,Westminster,2012,1014.959933
E09000002,Barking and Dagenham,2013,747.099544
E09000003,Barnet,2013,2218.286013
E09000004,Bexley,2013,1260.372911
E09000005,Brent,2013,1564.347245
E09000006,Bromley,2013,2075.102013
E09000007,Camden,2013,983.446197
E09000001,City of London,2013,31.957039
E09000008,Croydon,2013,2062.49099
E09000009,Ealing,2013,1710.08385
E09000010,Enfield,2013,1582.321658
E09000011,Greenwich,2013,1151.888328
E09000012,Hackney,2013,997.575088
E09000013,Hammersmith and Fulham,2013,909.182817
E09000014,Haringey,2013,1300.135461
E09000015,Harrow,2013,1436.820022
E09000016,Havering,2013,1366.366347
E09000017,Hillingdon,2013,1457.329803
E09000018,Hounslow,2013,1182.010055
E09000019,Islington,2013,930.090942
E09000020,Kensington and Chelsea,2013,909.937791
E09000021,Kingston upon Thames,2013,910.640962
E09000022,Lambeth,2013,1423.211301
E09000023,Lewisham,2013,1346.233101
E09000024,Merton,2013,1086.394259
E09000025,Newham,2013,1102.514924
E09000026,Redbridge,2013,1461.134835
E09000027,Richmond upon Thames,2013,1224.935309
E09000028,Southwark,2013,1060.853538
E09000029,Sutton,2013,1061.615436
E09000030,Tower Hamlets,2013,725.680743
E09000031,Waltham Forest,2013,1222.70707
E09000032,Wandsworth,2013,1558.188662
E09000033,Westminster,2013,1003.86439
E09000002,Barking and Dagenham,2014,725.1530272
E09000003,Barnet,2014,2153.568316
E09000004,Bexley,2014,1216.010069
E09000005,Brent,2014,1515.810427
E09000006,Bromley,2014,2005.138888
E09000007,Camden,2014,950.2674382
E09000001,City of London,2014,28.50629688
E09000008,Croydon,2014,2005.526051
E09000009,Ealing,2014,1653.834022
E09000010,Enfield,2014,1529.563179
E09000011,Greenwich,2014,1114.219105
E09000012,Hackney,2014,966.2111895
E09000013,Hammersmith and Fulham,2014,877.3565252
E09000014,Haringey,2014,1250.086046
E09000015,Harrow,2014,1403.40379
E09000016,Havering,2014,1322.6739
E09000017,Hillingdon,2014,1420.398605
E09000018,Hounslow,2014,1149.808512
E09000019,Islington,2014,895.7817068
E09000020,Kensington and Chelsea,2014,876.1509792
E09000021,Kingston upon Thames,2014,883.9065777
E09000022,Lambeth,2014,1368.616738
E09000023,Lewisham,2014,1303.232253
E09000024,Merton,2014,1051.52384
E09000025,Newham,2014,1071.544238
E09000026,Redbridge,2014,1418.479596
E09000027,Richmond upon Thames,2014,1189.760983
E09000028,Southwark,2014,1022.228315
E09000029,Sutton,2014,1028.334074
E09000030,Tower Hamlets,2014,683.3269625
E09000031,Waltham Forest,2014,1188.258547
E09000032,Wandsworth,2014,1505.828386
E09000033,Westminster,2014,926.2099458
E09000002,Barking and Dagenham,2015,778.8876583
E09000003,Barnet,2015,1483.855095
E09000004,Bexley,2015,929.4198961
E09000005,Brent,2015,905.2150517
E09000006,Bromley,2015,1170.760653
E09000007,Camden,2015,569.7488899
E09000001,City of London,2015,233.6606225
E09000008,Croydon,2015,1097.309445
E09000009,Ealing,2015,1247.7118
E09000010,Enfield,2015,1512.043363
E09000011,Greenwich,2015,1012.266629
E09000012,Hackney,2015,569.9302416
E09000013,Hammersmith and Fulham,2015,616.9216478
E09000014,Haringey,2015,645.6839047
E09000015,Harrow,2015,543.9384937
E09000016,Havering,2015,1493.948038
E09000017,Hillingdon,2015,2328.395783
E09000018,Hounslow,2015,1396.322778
E09000019,Islington,2015,487.7362228
E09000020,Kensington and Chelsea,2015,571.4730596
E09000021,Kingston upon Thames,2015,787.2979935
E09000022,Lambeth,2015,831.1339441
E09000023,Lewisham,2015,835.8602444
E09000024,Merton,2015,558.5164998
E09000025,Newham,2015,1108.739777
E09000026,Redbridge,2015,989.7127422
E09000027,Richmond upon Thames,2015,714.7649968
E09000028,Southwark,2015,847.8116982
E09000029,Sutton,2015,576.2024645
E09000030,Tower Hamlets,2015,1005.954472
E09000031,Waltham Forest,2015,705.85178
E09000032,Wandsworth,2015,839.6617354
E09000033,Westminster,2015,1251.529334
