Code,Area,Year,Median_annual_earning
E09000026,Redbridge,2012,28100
E09000027,Richmond upon Thames,2012,31505
E09000028,Southwark,2012,36056
E09000029,Sutton,2012,25247
E09000030,Tower Hamlets,2012,44880
E09000031,Waltham Forest,2012,27235
E09000032,Wandsworth,2012,31262
E09000033,Westminster,2012,37649
E09000001,City of London,2013,54202
E09000002,Barking and Dagenham,2013,32248
E09000003,Barnet,2013,29353
E09000004,Bexley,2013,28512
E09000005,Brent,2013,28034
E09000006,Bromley,2013,28126
E09000007,Camden,2013,36336
E09000008,Croydon,2013,30939
E09000009,Ealing,2013,29733
E09000010,Enfield,2013,25805
E09000011,Greenwich,2013,29251
E09000012,Hackney,2013,33097
E09000013,Hammersmith and Fulham,2013,34554
E09000014,Haringey,2013,29609
E09000015,Harrow,2013,25784
E09000016,Havering,2013,29858
E09000017,Hillingdon,2013,35738
E09000018,Hounslow,2013,31173
E09000019,Islington,2013,37325
E09000020,Kensington and Chelsea,2013,31307
E09000021,Kingston upon Thames,2013,29450
E09000022,Lambeth,2013,35397
E09000023,Lewisham,2013,30478
E09000024,Merton,2013,28610
E09000025,Newham,2013,29334
E09000026,Redbridge,2013,31215
E09000027,Richmond upon Thames,2013,31997
E09000028,Southwark,2013,36198
E09000029,Sutton,2013,30061
E09000030,Tower Hamlets,2013,46441
E09000031,Waltham Forest,2013,28447
E09000032,Wandsworth,2013,31491
E09000033,Westminster,2013,36946
E09000001,City of London,2014,54710
E09000002,Barking and Dagenham,2014,32698
E09000003,Barnet,2014,31162
E09000004,Bexley,2014,28505
E09000005,Brent,2014,29514
E09000006,Bromley,2014,27926
E09000007,Camden,2014,36748
E09000008,Croydon,2014,31154
E09000009,Ealing,2014,28825
E09000010,Enfield,2014,25805
E09000011,Greenwich,2014,28954
E09000012,Hackney,2014,33116
E09000013,Hammersmith and Fulham,2014,33688
E09000014,Haringey,2014,30325
E09000015,Harrow,2014,26037
E09000016,Havering,2014,30003
E09000017,Hillingdon,2014,33984
E09000018,Hounslow,2014,33038
E09000019,Islington,2014,36751
E09000020,Kensington and Chelsea,2014,30002
E09000021,Kingston upon Thames,2014,30768
E09000022,Lambeth,2014,34491
E09000023,Lewisham,2014,29983
E09000024,Merton,2014,27539
E09000025,Newham,2014,29061
E09000026,Redbridge,2014,31127
E09000027,Richmond upon Thames,2014,31533
E09000028,Southwark,2014,34612
E09000029,Sutton,2014,25797
E09000030,Tower Hamlets,2014,48309
E09000031,Waltham Forest,2014,26484
E09000032,Wandsworth,2014,31085
E09000033,Westminster,2014,37260
E09000001,City of London,2015,54034
E09000002,Barking and Dagenham,2015,33018
E09000003,Barnet,2015,30900
E09000004,Bexley,2015,29664
E09000005,Brent,2015,29987
E09000006,Bromley,2015,30444
E09000007,Camden,2015,36970
E09000008,Croydon,2015,30628
E09000009,Ealing,2015,28657
E09000010,Enfield,2015,26230
E09000011,Greenwich,2015,30497
E09000012,Hackney,2015,31566
E09000013,Hammersmith and Fulham,2015,34652
E09000014,Haringey,2015,30072
E09000015,Harrow,2015,26770
E09000016,Havering,2015,30591
E09000017,Hillingdon,2015,32681
E09000018,Hounslow,2015,33717
E09000019,Islington,2015,36679
E09000020,Kensington and Chelsea,2015,31524
E09000021,Kingston upon Thames,2015,28635
E09000022,Lambeth,2015,34852
E09000023,Lewisham,2015,30932
E09000024,Merton,2015,30040
E09000025,Newham,2015,28886
E09000026,Redbridge,2015,29098
E09000027,Richmond upon Thames,2015,32660
E09000028,Southwark,2015,36238
E09000029,Sutton,2015,27355
E09000030,Tower Hamlets,2015,46681
E09000031,Waltham Forest,2015,29352
E09000032,Wandsworth,2015,31968
E09000033,Westminster,2015,39392
E09000001,City of London,2016,55487
E09000002,Barking and Dagenham,2016,30994
E09000003,Barnet,2016,32623
E09000004,Bexley,2016,29177
E09000005,Brent,2016,30699
E09000006,Bromley,2016,30861
E09000007,Camden,2016,37817
E09000008,Croydon,2016,31479
