Code,Area,Year,Mean_life_satisfaction
E09000026,Redbridge,2013,7.47
E09000027,Richmond upon Thames,2013,7.6
E09000028,Southwark,2013,7.58
E09000029,Sutton,2013,7.49
E09000030,Tower Hamlets,2013,7.5
E09000031,Waltham Forest,2013,7.34
E09000032,Wandsworth,2013,7.43
E09000033,Westminster,2013,7.53
E09000002,Barking and Dagenham,2014,7.32
E09000003,Barnet,2014,7.54
E09000004,Bexley,2014,7.52
E09000005,Brent,2014,7.24
E09000006,Bromley,2014,7.71
E09000007,Camden,2014,7.25
E09000008,Croydon,2014,7.35
E09000009,Ealing,2014,7.6
E09000010,Enfield,2014,7.45
E09000011,Greenwich,2014,7.33
E09000012,Hackney,2014,7.43
E09000013,Hammersmith and Fulham,2014,7.56
E09000014,Haringey,2014,7.38
E09000015,Harrow,2014,7.49
E09000016,Havering,2014,7.62
E09000017,Hillingdon,2014,7.63
E09000018,Hounslow,2014,7.57
E09000019,Islington,2014,7.36
E09000020,Kensington and Chelsea,2014,7.65
E09000021,Kingston upon Thames,2014,7.52
E09000022,Lambeth,2014,7.41
E09000023,Lewisham,2014,7.33
E09000024,Merton,2014,7.64
E09000025,Newham,2014,7.54
E09000026,Redbridge,2014,7.55
E09000027,Richmond upon Thames,2014,7.54
E09000028,Southwark,2014,7.43
E09000029,Sutton,2014,7.6
E09000030,Tower Hamlets,2014,7.54
E09000031,Waltham Forest,2014,7.64
E09000032,Wandsworth,2014,7.47
E09000033,Westminster,2014,7.45
E09000002,Barking and Dagenham,2015,7.45
E09000003,Barnet,2015,7.53
E09000004,Bexley,2015,7.41
E09000005,Brent,2015,7.55
E09000006,Bromley,2015,7.54
E09000007,Camden,2015,7.35
E09000008,Croydon,2015,7.45
E09000009,Ealing,2015,7.65
E09000010,Enfield,2015,7.3
E09000011,Greenwich,2015,7.23
E09000012,Hackney,2015,7.31
E09000013,Hammersmith and Fulham,2015,7.68
E09000014,Haringey,2015,7.26
E09000015,Harrow,2015,7.65
E09000016,Havering,2015,7.69
E09000017,Hillingdon,2015,7.46
E09000018,Hounslow,2015,7.54
E09000019,Islington,2015,7.29
E09000020,Kensington and Chelsea,2015,7.78
E09000021,Kingston upon Thames,2015,7.71
E09000022,Lambeth,2015,7.41
E09000023,Lewisham,2015,7.14
E09000024,Merton,2015,7.56
E09000025,Newham,2015,7.73
E09000026,Redbridge,2015,7.87
E09000027,Richmond upon Thames,2015,7.74
E09000028,Southwark,2015,7.49
E09000029,Sutton,2015,7.45
E09000030,Tower Hamlets,2015,7.48
E09000031,Waltham Forest,2015,7.55
E09000032,Wandsworth,2015,7.53
E09000033,Westminster,2015,7.6
E09000002,Barking and Dagenham,2016,7.5
E09000003,Barnet,2016,7.47
E09000004,Bexley,2016,7.46
E09000005,Brent,2016,7.67
E09000006,Bromley,2016,7.6
E09000007,Camden,2016,7.56
E09000008,Croydon,2016,7.68
E09000009,Ealing,2016,7.42
E09000010,Enfield,2016,7.29
E09000011,Greenwich,2016,7.28
E09000012,Hackney,2016,7.26
E09000013,Hammersmith and Fulham,2016,7.47
E09000014,Haringey,2016,7.56
E09000015,Harrow,2016,7.64
E09000016,Havering,2016,7.53
E09000017,Hillingdon,2016,7.68
E09000018,Hounslow,2016,7.96
E09000019,Islington,2016,7.38
E09000020,Kensington and Chelsea,2016,7.52
E09000021,Kingston upon Thames,2016,7.69
E09000022,Lambeth,2016,7.35
E09000023,Lewisham,2016,7.18
E09000024,Merton,2016,7.62
E09000025,Newham,2016,7.61
E09000026,Redbridge,2016,7.57
E09000027,Richmond upon Thames,2016,7.71
E09000028,Southwark,2016,7.37
E09000029,Sutton,2016,7.66
E09000030,Tower Hamlets,2016,7.75
E09000031,Waltham Forest,2016,7.67
E09000032,Wandsworth,2016,7.64
E09000033,Westminster,2016,7.68
E09000002,Barking and Dagenham,2017,7.66
E09000003,Barnet,2017,7.63
E09000004,Bexley,2017,7.42
E09000005,Brent,2017,7.79
E09000006,Bromley,2017,7.31
E09000007,Camden,2017,7.31
E09000008,Croydon,2017,7.49
E09000009,Ealing,2017,7.55
E09000010,Enfield,2017,7.34
E09000011,Greenwich,2017,7.47
E09000012,Hackney,2017,7.34
E09000013,Hammersmith and Fulham,2017,7.34
E09000014,Haringey,2017,7.6
E09000015,Harrow,2017,7.79
E09000016,Havering,2017,7.58
E09000017,Hillingdon,2017,7.55
E09000018,Hounslow,2017,7.34
E09000019,Islington,2017,7.38
E09000020,Kensington and Chelsea,2017,7.31
E09000021,Kingston upon Thames,2017,7.6
E09000022,Lambeth,2017,7.42
E09000023,Lewisham,2017,7.31
E09000024,Merton,2017,7.55
E09000025,Newham,2017,7.47
E09000026,Redbridge,2017,7.55
E09000027,Richmond upon Thames,2017,7.73
E09000028,Southwark,2017,7.47
E09000029,Sutton,2017,7.91
E09000030,Tower Hamlets,2017,7.51
E09000031,Waltham Forest,2017,7.73
E09000032,Wandsworth,2017,7.64
E09000033,Westminster,2017,7.57
